Report, Date,Community Area
Vacant/Abandoned Building,3/30/2011,68
Vacant/Abandoned Building,3/30/2011,25
Vacant/Abandoned Building,3/30/2011,67
Vacant/Abandoned Building,3/30/2011,52
Vacant/Abandoned Building,3/30/2011,67
Vacant/Abandoned Building,3/31/2011,43
Vacant/Abandoned Building,4/1/2011,66
Vacant/Abandoned Building,4/1/2011,73
Vacant/Abandoned Building,4/1/2011,18
Vacant/Abandoned Building,4/1/2011,53
Vacant/Abandoned Building,4/1/2011,46
Vacant/Abandoned Building,4/1/2011,73
Vacant/Abandoned Building,4/2/2011,62
Vacant/Abandoned Building,4/2/2011,49
Vacant/Abandoned Building,4/2/2011,66
Vacant/Abandoned Building,4/2/2011,67
Vacant/Abandoned Building,4/2/2011,67
Vacant/Abandoned Building,4/2/2011,40
Vacant/Abandoned Building,4/3/2011,71
Vacant/Abandoned Building,4/3/2011,42
Vacant/Abandoned Building,4/3/2011,67
Vacant/Abandoned Building,4/4/2011,52
Vacant/Abandoned Building,4/4/2011,25
Vacant/Abandoned Building,4/4/2011,67
Vacant/Abandoned Building,4/4/2011,66
Vacant/Abandoned Building,4/4/2011,49
Vacant/Abandoned Building,4/6/2011,67
Vacant/Abandoned Building,4/6/2011,46
Vacant/Abandoned Building,4/6/2011,63
Vacant/Abandoned Building,4/7/2011,29
Vacant/Abandoned Building,4/7/2011,53
Vacant/Abandoned Building,4/7/2011,41
Vacant/Abandoned Building,4/7/2011,29
Vacant/Abandoned Building,4/7/2011,69
Vacant/Abandoned Building,4/7/2011,23
Vacant/Abandoned Building,4/7/2011,29
Vacant/Abandoned Building,4/7/2011,25
Vacant/Abandoned Building,4/7/2011,53
Vacant/Abandoned Building,4/8/2011,67
Vacant/Abandoned Building,4/8/2011,29
Vacant/Abandoned Building,4/8/2011,29
Vacant/Abandoned Building,4/8/2011,67
Vacant/Abandoned Building,4/8/2011,42
Vacant/Abandoned Building,4/8/2011,65
Vacant/Abandoned Building,4/9/2011,23
Vacant/Abandoned Building,4/10/2011,49
Vacant/Abandoned Building,4/10/2011,23
Vacant/Abandoned Building,4/11/2011,68
Vacant/Abandoned Building,4/11/2011,49
Vacant/Abandoned Building,4/11/2011,68
Vacant/Abandoned Building,4/11/2011,46
Vacant/Abandoned Building,4/11/2011,29
Vacant/Abandoned Building,4/11/2011,29
Vacant/Abandoned Building,4/11/2011,67
Vacant/Abandoned Building,4/11/2011,29
