Report,Date,Community Area
Vacant/Abandoned Building,05/15/2011,61
Vacant/Abandoned Building,05/16/2011,33
Vacant/Abandoned Building,05/16/2011,49
Vacant/Abandoned Building,05/16/2011,63
Vacant/Abandoned Building,05/16/2011,63
Vacant/Abandoned Building,05/16/2011,67
Vacant/Abandoned Building,05/16/2011,68
Vacant/Abandoned Building,05/17/2011,23
Vacant/Abandoned Building,05/17/2011,24
Vacant/Abandoned Building,05/17/2011,25
Vacant/Abandoned Building,05/17/2011,73
Vacant/Abandoned Building,05/17/2011,75
Vacant/Abandoned Building,05/18/2011,42
Vacant/Abandoned Building,05/18/2011,45
Vacant/Abandoned Building,05/18/2011,66
Vacant/Abandoned Building,05/18/2011,66
Vacant/Abandoned Building,05/18/2011,69
Vacant/Abandoned Building,05/18/2011,71
Vacant/Abandoned Building,05/19/2011,13
Vacant/Abandoned Building,05/19/2011,19
Vacant/Abandoned Building,05/19/2011,23
Vacant/Abandoned Building,05/19/2011,25
Vacant/Abandoned Building,05/19/2011,29
Vacant/Abandoned Building,05/19/2011,46
Vacant/Abandoned Building,05/19/2011,49
Vacant/Abandoned Building,05/19/2011,52
Vacant/Abandoned Building,05/19/2011,67
Vacant/Abandoned Building,05/19/2011,69
Vacant/Abandoned Building,05/20/2011,23
Vacant/Abandoned Building,05/20/2011,25
Vacant/Abandoned Building,05/20/2011,40
Vacant/Abandoned Building,05/20/2011,43
Vacant/Abandoned Building,05/20/2011,44
Vacant/Abandoned Building,05/20/2011,52
Vacant/Abandoned Building,05/20/2011,66
Vacant/Abandoned Building,05/20/2011,69
Vacant/Abandoned Building,05/21/2011,26
Vacant/Abandoned Building,05/21/2011,52
Vacant/Abandoned Building,05/21/2011,67
Vacant/Abandoned Building,05/21/2011,67
Vacant/Abandoned Building,05/21/2011,68
Vacant/Abandoned Building,05/21/2011,69
Vacant/Abandoned Building,05/22/2011,43
Vacant/Abandoned Building,05/22/2011,44
Vacant/Abandoned Building,05/22/2011,61
Vacant/Abandoned Building,05/23/2011,25
Vacant/Abandoned Building,05/23/2011,29
Vacant/Abandoned Building,05/23/2011,30
Vacant/Abandoned Building,05/23/2011,30
Vacant/Abandoned Building,05/23/2011,41
Vacant/Abandoned Building,05/23/2011,42
